"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ITGA2",5685.81652418542,-1.94038841202213,0.162474450665995,-11.9427294818867,7.08590734597159e-33,3.77893586005315e-30
"KLHL35",54.9296065963012,-3.53035521707072,0.297179455057214,-11.8795399782635,1.51197136681666e-32,7.60262402417327e-30
"MMP11",1080.55619700824,-4.62837038047488,0.389573285699368,-11.8806154076144,1.49264374298517e-32,7.60262402417327e-30
"NUP62CL",131.272566672733,-2.51097211462704,0.211576997355979,-11.867888031336,1.73799838410113e-32,8.49639821160995e-30
"TGIF1",1105.16508061663,-1.41880144657931,0.120136992653209,-11.8098631840641,3.47125674046444e-32,1.65109857771442e-29
"ST6GALNAC2",540.123233323064,-2.00126058642243,0.169598179319142,-11.8000122080117,3.90254838370239e-32,1.80739339486259e-29
"DTL",1041.52458850521,-1.80438532835254,0.15308669466553,-11.7866894461,4.5716023684656e-32,2.06296487391349e-29
"CA9",211.21602795462,-6.44995615784753,0.548332265702232,-11.7628608806875,6.06439797736425e-32,2.66818350009083e-29
"CD276",688.459317430538,-2.0315295232011,0.172853197572628,-11.7529183823603,6.82213084150719e-32,2.92835806535817e-29
"CLDN1",7850.86978960184,-2.44471647429257,0.208185192901977,-11.7429892117431,7.67257787643774e-32,3.21499281065304e-29
"MMP1",1410.71888802008,-5.97201916747148,0.510382815828047,-11.701058464875,1.25873545078033e-31,5.15174074378674e-29
"ZFR2",65.5361041632698,-4.27158632747548,0.366400904183754,-11.6582308577853,2.08325966017275e-31,8.3325651725864e-29
"COL11A1",1444.17436515432,-8.04781618564178,0.694020022499525,-11.5959423716011,4.32083279966673e-31,1.68982969869633e-28
"MAP7D2",241.677044725099,-4.30107144978484,0.371038198971069,-11.591990964036,4.52490495647241e-31,1.73116961584691e-28
"COL7A1",5948.69562232083,-3.33693746809373,0.288567196538396,-11.5638142800813,6.28535366435764e-31,2.35353061997937e-28
"TCAM1P",84.4170552659822,-4.57682543361825,0.396373551848983,-11.5467477894741,7.6666964585219e-31,2.81096231194848e-28
"LHX2",45.7703564393699,-4.84122474825898,0.419971328282381,-11.5275125281977,9.58738925323424e-31,3.44343802995244e-28
"MARK1",811.461747722437,-1.89864833145308,0.164832311380749,-11.5186659432771,1.06243143274439e-30,3.73954615697369e-28
"TNFRSF12A",290.748476767932,-2.7652960817632,0.240776991551817,-11.4848850961247,1.57144253299476e-30,5.42270924277937e-28
"USP31",2180.36406378335,-1.61857616088556,0.140958502686163,-11.482642976772,1.61273962915247e-30,5.45819321797199e-28
"AKR1E2",115.86344568841,-2.58553516633354,0.226662600845515,-11.4069774046921,3.85907124021713e-30,1.25769990289965e-27
"PLAU",1923.07963485484,-2.91738973536362,0.255720417931216,-11.408513090059,3.79155115674652e-30,1.25769990289965e-27
"WNK3",313.629739032311,-2.70532149746204,0.237756061323265,-11.3785595303236,5.34756946453108e-30,1.71112500011423e-27
"SH3PXD2B",1449.27640835129,-1.6518907553305,0.145525736648056,-11.3511932210691,7.315745380614e-30,2.29910362416832e-27
