ADH1B,ALX1,APOBEC3B,ARG1,ASTN2,BNC1,BOLL,CDH3,CHST8,CLGN,CNFN,COL1A1,COL21A1,COL3A1,COL5A2,CRTAC1,CXCL3,DLGAP1,DSG2,ECT2,ERC2,F10,FAT1,GAD1,GAST,GDF7,GFRA2,GREM1,HBA1,HOXC11,HOXD11,HSF2BP,HSFY2,HTRA3,IDO1,ITPKA,KCNJ12,KRT17,KRT8,LAMA3,LAMC2,LCN10,LGI1,MAP7D2,MASP1,MESP2,MYO10,NAT8B,NLGN4Y,NPNT,PCNAP1,PLAU,PLOD2,PTGS2,PTPRZ1,PXDN,RASGRP2,RPTN,SCARA5,SCN7A,SDS,Sep-01,SLC28A3,SNORA56,SORCS1,SPP1,TCAM1P,TMSB15A,TNFRSF12A,TNFSF18,VCAN,VEGFA,VSIG8,Class
66,17,31,3,36,1165,7,4832,13,20,2409,12056,59,16165,2446,36,13,23,838,1356,59,23,8040,30,3,13,69,2376,52,33,17,36,20,56,96,7,116,6314,205,2634,1594,109,40,20,630,0,1558,3,211,482,20,621,1261,535,2558,1409,983,2205,73,89,40,921,112,7,208,79,36,3,135,7,1650,825,69,HNSCC
17,49,764,0,206,2580,6,3535,0,502,1924,22096,76,45879,6791,2,37,1,5614,7757,18,8,11934,14,1,1,23,727,28,2,377,28,0,366,11410,40,11,21959,7925,2661,3845,4,0,1,33,7,1825,1,302,2616,0,2927,3657,425,1478,912,21,34,28,11,77,108,503,6,2,2443,61,151,461,55,5785,1554,3,HNSCC
38,0,402,4,29,2372,25,3640,0,4,176,30874,63,80481,8623,0,4,21,6950,3791,13,8,16322,4,42,4,46,1393,15,8,4,21,8,732,4954,21,25,23766,866,4874,7176,8,4,0,25,25,2481,8,117,3079,0,1628,3506,695,4699,1787,63,1477,59,46,209,222,138,0,17,11661,84,8,845,339,8615,1870,130,HNSCC
812,0,535,7,188,563,13,1560,3,429,336,4481,464,22192,2874,3,15,7,1603,1742,24,17,9542,97,1,45,57,1160,8,7,4,29,0,28,5492,37,3,2943,1851,3062,2322,44,8,857,68,5,2127,0,571,2223,4,883,967,181,515,567,731,67,44,12,40,739,191,4,36,275,61,52,293,12,2784,357,1,HNSCC
319,12,335,5,482,65,48,2120,29,1930,31,9652,196,29208,3240,74,48,19,4816,5950,82,17,8722,166,0,17,57,588,4,19,84,84,17,149,631,58,62,12671,1744,8530,6729,41,12,1280,103,12,4367,9,468,6497,2,1398,1372,4158,774,798,372,67,45,43,43,355,120,0,144,482,136,15,379,9,9256,2581,2,HNSCC
4,38,636,0,399,4185,56,11328,0,744,261,1756,639,2825,3339,4,66,120,8058,9326,98,4,13238,47,5,0,3,162,21,1,5,26,0,31,514,45,0,39529,4896,9981,13768,0,9,1425,28,90,3609,9,235,835,4,1289,7604,930,4080,297,4,129,1,7,24,32,175,0,0,1153,77,22,393,14,500,2561,2,HNSCC
2,0,504,5,1161,151,44,2691,2,1068,216,20750,920,27384,3504,0,71,376,8867,3394,924,2,18757,441,0,3,19,957,0,12,2,20,0,153,808,41,0,14552,9081,8531,11413,5,0,1141,25,8,3234,2,876,1997,12,640,2460,3774,277,501,42,15,2,8,51,154,319,0,0,319,226,109,419,10,3613,4903,52,HNSCC
5,0,647,10,1178,4091,165,5265,1,93,20,1460,91,1934,436,1,10,7,3289,3184,386,7,8156,400,1,1,2,59,11,39,71,80,1,10,1738,42,0,2237,4794,10536,7322,2,0,526,15,77,3490,97,360,759,16,3102,1662,196,4961,100,83,5,1,6,18,165,311,6,1,1075,404,0,81,1,436,4018,19,HNSCC
63,14,700,12,734,6530,42,14545,3,3,104,11272,63,13322,1948,35,62,2,10547,4000,3,19,14877,8,2,1,17,623,24,130,331,47,0,99,53,10,17,40366,1882,9727,14147,16,3,190,216,47,5734,2,54,2711,2,8355,3029,481,414,718,84,3,142,37,70,150,1038,2,28,4426,177,2,379,2,1777,2294,2,HNSCC
268,2,17,46,13,1080,6,905,13,394,7833,321,211,7534,2148,884,97,23,1382,1394,36,232,8939,23,0,15,139,1496,4462,8,10,13,8,207,10,11,112,4530,852,2962,1709,19,65,19,502,2,1184,6,373,546,4,542,1837,3447,390,376,95,1190,2392,181,32,42,13,0,165,70,11,0,447,17,4871,1793,13,HNSCC
1,13,554,4,540,10,27,2044,3,2956,696,6613,622,6411,2084,8,13,26,4045,2949,24,2,13024,225,1,2,22,342,1,53,63,12,1,180,903,126,2,32944,5818,8197,7285,9,0,959,13,4,2753,3,306,4956,4,1105,1058,486,70,270,64,772,1,2,48,315,242,1,3,224,170,0,441,8,1006,2626,26,HNSCC
7,206,486,15,769,1616,71,2077,1,290,17,73396,698,138927,19203,6,17,13,7675,5662,11,6,23449,181,2,0,2,4432,5,17,373,148,0,494,855,49,27,22815,4630,6031,8242,4,0,335,6,30,1515,2,905,4265,5,2394,4829,957,397,2168,56,2,1,7,72,130,436,1,2,3489,129,23,434,0,21713,3460,5,HNSCC
79,0,386,28,89,45,39,406,2,4,7,6502,172,40858,5971,305,71,4,4217,2283,120,1,60418,865,0,4,17,604,6,7,62,150,7,64,769,4,15,2520,1236,3967,4231,7,0,147,5,19,2480,4,1393,578,6,1489,1247,460,1045,1446,129,10,8,2,67,183,90,0,10,2545,209,152,164,34,9266,5526,1,HNSCC
310,31,95,0,418,2146,100,5038,11,441,34,115766,571,213502,26874,115,54,23,4730,1973,100,54,19820,103,0,4,15,4165,15,46,276,84,50,628,2096,15,100,31862,2127,6330,13732,31,8,153,111,8,3751,11,1042,2031,50,2516,5513,1322,1326,4326,123,119,88,84,165,291,134,0,138,4992,73,11,693,15,60736,4862,15,HNSCC
61,70,283,9,174,303,34,726,2,0,23,6429,1157,11460,2625,5,115,260,6528,1924,955,3,21925,58,0,2,37,440,52,17,2,36,2,36,1451,14,22,12765,3394,6140,5030,23,2,148,11,0,1415,6,1110,3101,12,4500,778,372,193,669,278,33,19,8,81,537,9,0,34,1042,114,39,90,9,3370,2963,0,HNSCC
58,36,114,94,71,1753,67,1636,5,245,4394,34531,154,86902,6962,120,118,16,4903,2221,62,85,10084,44,0,4,68,1611,33,11,25,46,1,336,1426,18,18,9122,2695,5391,6266,3,22,353,325,10,1426,1,254,465,7,968,2609,736,4179,1864,57,72,348,74,29,120,119,0,16,2049,82,22,149,6,7219,1309,4,HNSCC
48,2,531,7,497,1707,53,1826,0,622,37,7236,2130,22183,3178,23,0,25,5160,3764,231,27,14641,80,0,14,57,792,2,18,5,21,0,535,5854,174,43,12089,2028,3611,2114,25,9,195,80,11,1565,2,9,2787,7,1313,2153,231,3529,368,231,41,529,50,146,744,192,7,62,211,69,231,142,101,6993,524,5,HNSCC
22,9,174,6,184,970,84,3271,4,82,1220,9995,195,18878,2867,13,47,24,2492,1694,54,19,21840,26,0,11,4,2525,76,0,64,43,4,114,395,17,69,32905,1038,5660,5997,17,4,62,264,4,2231,6,348,1014,4,841,1351,791,1583,652,240,64,7,7,41,377,112,4,26,118,197,39,348,28,2556,4931,13,HNSCC
80,13,271,6,685,4188,30,2569,3,60,21,16204,10,20368,2856,6,10,14,5207,4755,27,21,8786,17,4,1,22,1031,23,34,0,26,0,166,9982,32,17,36598,413,2674,1837,9,0,75,73,30,2962,12,282,558,1,1310,5296,187,1310,441,118,61,6,13,228,396,206,14,12,13069,234,18,450,34,3363,2025,21,HNSCC
